Symbol,Band
21STCENMGM,2
AARTECH,2
ALPSINDUS,2
ASMS,2
ASTRON,2
BANKA,2
BGRENERGY,2
BKMINDST,2
BLUECHIP,2
BRNL,2
CMMIPL,2
CROWN,2
CTE,2
CUBEXTUB,2
DHRUV,2
DIACABS,2
DUCON,2
ELECTHERM,2
ESSENTIA,2
FEL,2
GATECH,2
GLFL,2
GLOBALVECT,2
GOKUL,2
GOYALALUM,2
GTECJAINX,2
GTL,2
HINDCON,2
ICDSLTD,2
INDSWFTLTD,2
JAIPURKURT,2
KRIDHANINF,2
LAGNAM,2
LATTEYS,2
LCCINFOTEC,2
MADHAV,2
MALUPAPER,2
MANAKSTEEL,2
MELSTAR,2
MKPL,2
MODTHREAD,2
MOKSH,2
NARMADA,2
NILASPACES,2
NITCO,2
NITIRAJ,2
OMAXAUTO,2
PARASPETRO,2
PIGL,2
PRAENG,2
PRAKASHSTL,2
RAJRILTD,2
RAJTV,2
REGENCERAM,2
RHFL,2
ROLLT,2
RPPINFRA,2
SABEVENTS,2
SABTNL,2
SALSTEEL,2
SANWARIA,2
SECURKLOUD,2
SETCO,2
SHREERAMA,2
SHYAMTEL,2
SITINET,2
SPYL,2
STARTECK,2
SUPREMEINF,2
TARAPUR,2
TECHIN,2
TFL,2
THOMASCOTT,2
TIJARIA,2
TIL,2
TNTELE,2
TRF,2
TVVISION,2
UMAEXPORTS,2
VASWANI,2
VIJIFIN,2
VIPULLTD,2
VIVIDHA,2
WINSOME,2
ZODIAC,2
3PLAND,5
63MOONS,5
A2ZINFRA,5
AAATECH,5
AAKASH,5
AAREYDRUGS,5
AARVEEDEN,5
ABAN,5
ABCOTS,5
ABINFRA,5
ABMINTLLTD,5
ABSMARINE,5
ACCORD,5
ACCURACY,5
ADROITINFO,5
AGARWALFT,5
AGNI,5
AGSTRA,5
AGUL,5
AHIMSA,5
AILIMITED,5
AIRAN,5
AISL,5
AKI,5
AKSHAR,5
AKSHARCHEM,5
AKSHOPTFBR,5
ALANKIT,5
ALOKINDS,5
ALPEXSOLAR,5
AMBANIORG,5
AMBICAAGAR,5
ANKITMETAL,5
ANSALAPI,5
ANTGRAPHIC,5
APOLLO,5
APS,5
ARCHIDPLY,5
ARCHIES,5
ARENTERP,5
ARHAM,5
ARSHIYA,5
ARSSINFRA,5
ARTNIRMAN,5
ARVEE,5
ASCOM,5
ASIANENE,5
ASIANHOTNR,5
ASLIND,5
ATALREAL,5
ATAM,5
ATLANTAA,5
ATMASTCO,5
AURIONPRO,5
AURUM,5
AURUMPP1,5
AVSL,5
AZAD,5
BAFNAPH,5
BAGFILMS,5
BAHETI,5
BAJEL,5
BALAJITELE,5
BANG,5
BBOX,5
BCG,5
BCONCEPTS,5
BEDMUTHA,5
BGLOBAL,5
BIL,5
BINANIIND,5
BIRLAMONEY,5
BLBLIMITED,5
BLUECOAST,5
BMETRICS,5
BOHRAIND,5
BRIGHT,5
BROOKS,5
BVCL,5
CADSYS,5
CALSOFT,5
CAREERP,5
CELLECOR,5
CENTEXT,5
CEREBRAINT,5
CGRAPHICS,5
CINEVISTA,5
CLOUD,5
CMICABLES,5
CMNL,5
CMRSL,5
COMPINFO,5
CONTI,5
COUNCODOS,5
CPS,5
CRAYONS,5
CREATIVEYE,5
CUPID,5
CYBERMEDIA,5
DBCORP,5
DBSTOCKBRO,5
DCI,5
DCMFINSERV,5
DESTINY,5
DGCONTENT,5
DHANBANK,5
DHTL,5
DIGIDRIVE,5
DIGJAMLMTD,5
DJML,5
DNAMEDIA,5
DOLPHIN,5
DPSCLTD,5
DREDGECORP,5
DRL,5
DRONE,5
DRSCARGO,5
DUGLOBAL,5
DVL,5
DYNAMIC,5
E2E,5
EDUCOMP,5
EIMCOELECO,5
EMMIL,5
ENERGYDEV,5
EQUIPPP,5
ESCONET,5
EUROTEXIND,5
EXCEL,5
FCONSUMER,5
FCSSOFT,5
FELDVR,5
FELIX,5
FLEXITUFF,5
